DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
10304468,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2230,Southwest,BATTERY - SIMPLE ASSAULT,36,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1100 W  39TH                         PL
190101086,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,330,Central,BATTERY - SIMPLE ASSAULT,25,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  HILL                         ST
200110444,04/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,X,X,,Adult Arrest,200 E  6TH                          ST
191501505,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1730,N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,W,,Invest Cont,5400    CORTEEN                      PL
191921269,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,415,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,X,,Invest Cont,14400    TITUS                        ST
200100501,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,Central,"RAPE, FORCIBLE",25,F,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  BROADWAY
200100502,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1315,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,,Invest Cont,700 S  FIGUEROA                     ST
200100504,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40,Central,OTHER MISCELLANEOUS CRIME,0,X,X,,Invest Cont,200 E  6TH                          ST
200100507,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,200,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,,Invest Cont,700    BERNARD                      ST
201710201,06/19/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1925,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,,Adult Other,11900    BALBOA                       BL
200100509,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,Central,BURGLARY FROM VEHICLE,29,M,A,ROCK/THROWN OBJECT,Invest Cont,15TH
200100510,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,955,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,VERBAL THREAT,Invest Cont,800 N  ALAMEDA                      ST
200100514,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1355,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,A,,Adult Arrest,800 S  OLIVE                        ST
200100515,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1638,Central,ARSON,0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 W  7TH                          ST
200100520,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1805,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,H,,Invest Cont,100 S  LOS ANGELES                  ST
211916029,11/26/2021 12:00:00 AM,11/30/2020 12:00:00 AM,730,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14200    BERG                         ST
201116159,11/29/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2018,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,3200 W  AVENUE 32
200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,PACIFIC COAST
210916801,11/22/2021 12:00:00 AM,11/19/2020 12:00:00 AM,1200,Van Nuys,THEFT OF IDENTITY,46,M,B,,Invest Cont,14700    FRIAR                        ST
200100535,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1330,Central,ROBBERY,66,M,B,FOLDING KNIFE,Invest Cont,7TH
200914517,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735,Van Nuys,THEFT OF IDENTITY,40,M,O,,Invest Cont,13600    LEADWELL                     ST
200100538,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1730,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,H,,Invest Cont,700 W  7TH                          ST
200100543,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1445,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,B,,Invest Cont,700 W  7TH                          ST
211014725,11/18/2021 12:00:00 AM,12/28/2020 12:00:00 AM,1,West Valley,THEFT OF IDENTITY,46,F,W,,Invest Cont,5700    ENFIELD                      AV
200100546,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,700,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,A,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,600    SAN JULIAN                   ST
211015072,11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,West Valley,THEFT OF IDENTITY,34,F,B,,Invest Cont,18600    COLLINS                      ST
201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,Northeast,BURGLARY FROM VEHICLE,43,M,A,,Invest Cont,2700 N  VERMONT                      AV
